AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR
6.5|7.9|7.2|433|IIIc Intracranial and intraspinal embryonal tumors|60628650|0-14|All Races|Male and Female|2003
5.0|6.2|5.6|337|IIId Other gliomas|60628650|0-14|All Races|Male and Female|2003
0.6|1.1|0.9|52|IIIe Other specified intracranial and intraspinal neoplasms|60628650|0-14|All Races|Male and Female|2003
0.2|0.5|0.3|21|IIIf Unspecified intracranial and intraspinal neoplasms|60628650|0-14|All Races|Male and Female|2003
5.2|6.5|5.8|359|IIa Hodgkin lymphomas|60628650|0-14|All Races|Male and Female|2003
5.7|6.9|6.3|381|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|60628650|0-14|All Races|Male and Female|2003
2.3|3.2|2.7|163|IIc Burkitt lymphoma|60628650|0-14|All Races|Male and Female|2003
0.9|1.5|1.2|73|IId Miscellaneous lymphoreticular neoplasms|60628650|0-14|All Races|Male and Female|2003
~|~|~|~|IIe Unspecified lymphomas|60628650|0-14|All Races|Male and Female|2003
9.9|11.6|10.7|652|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|60628650|0-14|All Races|Male and Female|2003
9.7|11.4|10.5|642|IVa Neuroblastoma and ganglioneuroblastoma|60628650|0-14|All Races|Male and Female|2003
~|~|~|~|IVb Other peripheral nervous cell tumors|60628650|0-14|All Races|Male and Female|2003
9.7|11.3|10.5|639|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|60628650|0-14|All Races|Male and Female|2003
4.3|5.5|4.9|295|IXa Rhabdomyosarcomas|60628650|0-14|All Races|Male and Female|2003
0.8|1.4|1.1|65|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|60628650|0-14|All Races|Male and Female|2003
~|~|~|~|IXc Kaposi sarcoma|60628650|0-14|All Races|Male and Female|2003
3.1|4.1|3.6|219|IXd Other specified soft tissue sarcomas|60628650|0-14|All Races|Male and Female|2003
0.7|1.2|0.9|58|IXe Unspecified soft tissue sarcomas|60628650|0-14|All Races|Male and Female|2003
34.3|37.3|35.8|2155|Ia Lymphoid leukemias|60628650|0-14|All Races|Male and Female|2003
6.9|8.3|7.6|462|Ib Acute myeloid leukemias|60628650|0-14|All Races|Male and Female|2003
1.2|1.8|1.5|91|Ic Chronic myeloproliferative diseases|60628650|0-14|All Races|Male and Female|2003
1.5|2.2|1.8|111|Id Myelodysplastic syndrome and other myeloproliferative diseases|60628650|0-14|All Races|Male and Female|2003
0.6|1.1|0.8|49|Ie Unspecified and other specified leukemias|60628650|0-14|All Races|Male and Female|2003
~|~|~|~|Not classified by ICCC|60628650|0-14|All Races|Male and Female|2003
3.6|4.6|4.1|250|V RETINOBLASTOMA|60628650|0-14|All Races|Male and Female|2003
7.8|9.3|8.5|513|VI RENAL TUMORS|60628650|0-14|All Races|Male and Female|2003
2.3|3.1|2.7|163|VII HEPATIC TUMORS|60628650|0-14|All Races|Male and Female|2003
6.0|7.3|6.6|407|VIII MALIGNANT BONE TUMORS|60628650|0-14|All Races|Male and Female|2003
3.2|4.2|3.7|227|VIIIa Osteosarcomas|60628650|0-14|All Races|Male and Female|2003
~|~|~|~|VIIIb Chondrosarcomas|60628650|0-14|All Races|Male and Female|2003
1.9|2.6|2.2|136|VIIIc Ewing tumor and related sarcomas of bone|60628650|0-14|All Races|Male and Female|2003
0.2|0.4|0.3|17|VIIId Other specified malignant bone tumors|60628650|0-14|All Races|Male and Female|2003
~|~|~|~|VIIIe Unspecified malignant bone tumors|60628650|0-14|All Races|Male and Female|2003
1.9|2.6|2.2|136|VIIa Hepatoblastoma and mesenchymal tumors of liver|60628650|0-14|All Races|Male and Female|2003
0.3|0.6|0.4|27|VIIb Hepatic carcinomas|60628650|0-14|All Races|Male and Female|2003
~|~|~|~|VIIc Unspecified malignant hepatic tumors|60628650|0-14|All Races|Male and Female|2003
7.4|8.9|8.1|489|VIa Nephroblastoma and other non-epithelial renal tumors|60628650|0-14|All Races|Male and Female|2003
0.2|0.5|0.3|20|VIb Renal carcinomas|60628650|0-14|All Races|Male and Female|2003
~|~|~|~|VIc Unspecified malignant renal tumors|60628650|0-14|All Races|Male and Female|2003
4.5|5.7|5.1|312|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|60628650|0-14|All Races|Male and Female|2003
5.7|6.9|6.3|388|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|60628650|0-14|All Races|Male and Female|2003
0.6|1.1|0.8|52|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|60628650|0-14|All Races|Male and Female|2003
0.3|0.6|0.4|25|XIIa Other specified malignant tumors|60628650|0-14|All Races|Male and Female|2003
0.3|0.6|0.4|27|XIIb Other unspecified malignant tumors|60628650|0-14|All Races|Male and Female|2003
~|~|~|~|XIa Adrenocortical carcinomas|60628650|0-14|All Races|Male and Female|2003
1.8|2.6|2.2|136|XIb Thyroid carcinomas|60628650|0-14|All Races|Male and Female|2003
~|~|~|~|XIc Nasopharyngeal carcinomas|60628650|0-14|All Races|Male and Female|2003
1.6|2.3|1.9|118|XId Malignant melanomas|60628650|0-14|All Races|Male and Female|2003
~|~|~|~|XIe Skin carcinomas|60628650|0-14|All Races|Male and Female|2003
1.4|2.1|1.7|108|XIf Other and unspecified carcinomas|60628650|0-14|All Races|Male and Female|2003
0.9|1.5|1.2|72|Xa Intracranial and intraspinal germ cell tumors|60628650|0-14|All Races|Male and Female|2003
1.2|1.8|1.4|88|Xb Malignant extracranial and extragonadal germ cell tumors|60628650|0-14|All Races|Male and Female|2003
1.8|2.6|2.2|136|Xc Malignant gonadal germ cell tumors|60628650|0-14|All Races|Male and Female|2003
~|~|~|~|Xd Gonadal carcinomas|60628650|0-14|All Races|Male and Female|2003
~|~|~|~|Xe Other and unspecified malignant gonadal tumors|60628650|0-14|All Races|Male and Female|2003
156.5|162.9|159.7|9725|All ICCC Groups Combined|60651802|0-14|All Races|Male and Female|2004
49.2|52.8|51.0|3093|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|60651802|0-14|All Races|Male and Female|2004
15.1|17.1|16.1|983|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|60651802|0-14|All Races|Male and Female|2004
33.6|36.6|35.1|2122|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|60651802|0-14|All Races|Male and Female|2004
2.5|3.4|3.0|180|IIIa Ependymomas and choroid plexus tumor|60651802|0-14|All Races|Male and Female|2004
16.5|18.6|17.5|1061|IIIb Astrocytomas|60651802|0-14|All Races|Male and Female|2004
7.1|8.5|7.8|469|IIIc Intracranial and intraspinal embryonal tumors|60651802|0-14|All Races|Male and Female|2004
4.9|6.1|5.5|329|IIId Other gliomas|60651802|0-14|All Races|Male and Female|2004
0.6|1.1|0.8|49|IIIe Other specified intracranial and intraspinal neoplasms|60651802|0-14|All Races|Male and Female|2004
0.4|0.8|0.6|34|IIIf Unspecified intracranial and intraspinal neoplasms|60651802|0-14|All Races|Male and Female|2004
4.7|5.9|5.3|324|IIa Hodgkin lymphomas|60651802|0-14|All Races|Male and Female|2004
6.2|7.6|6.9|420|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|60651802|0-14|All Races|Male and Female|2004
2.1|2.9|2.4|147|IIc Burkitt lymphoma|60651802|0-14|All Races|Male and Female|2004
1.0|1.6|1.3|80|IId Miscellaneous lymphoreticular neoplasms|60651802|0-14|All Races|Male and Female|2004
~|~|~|~|IIe Unspecified lymphomas|60651802|0-14|All Races|Male and Female|2004
10.3|11.9|11.1|679|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|60651802|0-14|All Races|Male and Female|2004
10.0|11.7|10.8|664|IVa Neuroblastoma and ganglioneuroblastoma|60651802|0-14|All Races|Male and Female|2004
~|~|~|~|IVb Other peripheral nervous cell tumors|60651802|0-14|All Races|Male and Female|2004
9.6|11.3|10.4|638|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|60651802|0-14|All Races|Male and Female|2004
4.0|5.1|4.5|275|IXa Rhabdomyosarcomas|60651802|0-14|All Races|Male and Female|2004
1.0|1.5|1.2|76|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|60651802|0-14|All Races|Male and Female|2004
~|~|~|~|IXc Kaposi sarcoma|60651802|0-14|All Races|Male and Female|2004
3.2|4.1|3.6|223|IXd Other specified soft tissue sarcomas|60651802|0-14|All Races|Male and Female|2004
0.8|1.3|1.0|62|IXe Unspecified soft tissue sarcomas|60651802|0-14|All Races|Male and Female|2004
37.1|40.2|38.6|2337|Ia Lymphoid leukemias|60651802|0-14|All Races|Male and Female|2004
7.3|8.7|8.0|489|Ib Acute myeloid leukemias|60651802|0-14|All Races|Male and Female|2004
1.3|1.9|1.6|97|Ic Chronic myeloproliferative diseases|60651802|0-14|All Races|Male and Female|2004
1.2|1.9|1.5|92|Id Myelodysplastic syndrome and other myeloproliferative diseases|60651802|0-14|All Races|Male and Female|2004
1.0|1.6|1.3|78|Ie Unspecified and other specified leukemias|60651802|0-14|All Races|Male and Female|2004
~|~|~|~|Not classified by ICCC|60651802|0-14|All Races|Male and Female|2004
3.8|4.8|4.3|265|V RETINOBLASTOMA|60651802|0-14|All Races|Male and Female|2004
7.4|8.8|8.1|491|VI RENAL TUMORS|60651802|0-14|All Races|Male and Female|2004
2.4|3.3|2.8|174|VII HEPATIC TUMORS|60651802|0-14|All Races|Male and Female|2004
6.4|7.8|7.1|436|VIII MALIGNANT BONE TUMORS|60651802|0-14|All Races|Male and Female|2004
3.6|4.7|4.1|253|VIIIa Osteosarcomas|60651802|0-14|All Races|Male and Female|2004
0.2|0.5|0.3|18|VIIIb Chondrosarcomas|60651802|0-14|All Races|Male and Female|2004
1.9|2.7|2.3|142|VIIIc Ewing tumor and related sarcomas of bone|60651802|0-14|All Races|Male and Female|2004
0.2|0.5|0.3|18|VIIId Other specified malignant bone tumors|60651802|0-14|All Races|Male and Female|2004
~|~|~|~|VIIIe Unspecified malignant bone tumors|60651802|0-14|All Races|Male and Female|2004
2.1|3.0|2.5|155|VIIa Hepatoblastoma and mesenchymal tumors of liver|60651802|0-14|All Races|Male and Female|2004
~|~|~|~|VIIb Hepatic carcinomas|60651802|0-14|All Races|Male and Female|2004
~|~|~|~|VIIc Unspecified malignant hepatic tumors|60651802|0-14|All Races|Male and Female|2004
7.0|8.4|7.7|468|VIa Nephroblastoma and other non-epithelial renal tumors|60651802|0-14|All Races|Male and Female|2004
0.2|0.6|0.4|23|VIb Renal carcinomas|60651802|0-14|All Races|Male and Female|2004
~|~|~|~|VIc Unspecified malignant renal tumors|60651802|0-14|All Races|Male and Female|2004
5.1|6.3|5.6|349|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|60651802|0-14|All Races|Male and Female|2004
6.4|7.8|7.1|436|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|60651802|0-14|All Races|Male and Female|2004
0.5|1.0|0.7|45|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|60651802|0-14|All Races|Male and Female|2004
0.2|0.5|0.4|22|XIIa Other specified malignant tumors|60651802|0-14|All Races|Male and Female|2004
0.2|0.6|0.4|23|XIIb Other unspecified malignant tumors|60651802|0-14|All Races|Male and Female|2004
0.2|0.4|0.3|16|XIa Adrenocortical carcinomas|60651802|0-14|All Races|Male and Female|2004
2.2|3.1|2.6|162|XIb Thyroid carcinomas|60651802|0-14|All Races|Male and Female|2004
0.2|0.6|0.4|24|XIc Nasopharyngeal carcinomas|60651802|0-14|All Races|Male and Female|2004
2.1|2.8|2.4|149|XId Malignant melanomas|60651802|0-14|All Races|Male and Female|2004
~|~|~|~|XIe Skin carcinomas|60651802|0-14|All Races|Male and Female|2004
1.0|1.6|1.3|80|XIf Other and unspecified carcinomas|60651802|0-14|All Races|Male and Female|2004
1.3|1.9|1.6|96|Xa Intracranial and intraspinal germ cell tumors|60651802|0-14|All Races|Male and Female|2004
1.1|1.6|1.3|82|Xb Malignant extracranial and extragonadal germ cell tumors|60651802|0-14|All Races|Male and Female|2004
2.1|2.9|2.5|152|Xc Malignant gonadal germ cell tumors|60651802|0-14|All Races|Male and Female|2004
~|~|~|~|Xd Gonadal carcinomas|60651802|0-14|All Races|Male and Female|2004
~|~|~|~|Xe Other and unspecified malignant gonadal tumors|60651802|0-14|All Races|Male and Female|2004
152.6|158.9|155.7|9476|All ICCC Groups Combined|60519046|0-14|All Races|Male and Female|2005
47.3|50.9|49.1|2982|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|60519046|0-14|All Races|Male and Female|2005
15.6|17.6|16.6|1009|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|60519046|0-14|All Races|Male and Female|2005
31.7|34.6|33.2|2003|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|60519046|0-14|All Races|Male and Female|2005
2.9|3.8|3.3|201|IIIa Ependymomas and choroid plexus tumor|60519046|0-14|All Races|Male and Female|2005
15.8|17.8|16.8|1015|IIIb Astrocytomas|60519046|0-14|All Races|Male and Female|2005
6.3|7.6|6.9|419|IIIc Intracranial and intraspinal embryonal tumors|60519046|0-14|All Races|Male and Female|2005
4.5|5.7|5.1|306|IIId Other gliomas|60519046|0-14|All Races|Male and Female|2005
0.4|0.8|0.6|34|IIIe Other specified intracranial and intraspinal neoplasms|60519046|0-14|All Races|Male and Female|2005
0.3|0.7|0.5|28|IIIf Unspecified intracranial and intraspinal neoplasms|60519046|0-14|All Races|Male and Female|2005
5.3|6.5|5.9|360|IIa Hodgkin lymphomas|60519046|0-14|All Races|Male and Female|2005
5.7|7.0|6.4|386|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|60519046|0-14|All Races|Male and Female|2005
2.2|3.0|2.6|155|IIc Burkitt lymphoma|60519046|0-14|All Races|Male and Female|2005
1.2|1.9|1.5|94|IId Miscellaneous lymphoreticular neoplasms|60519046|0-14|All Races|Male and Female|2005
~|~|~|~|IIe Unspecified lymphomas|60519046|0-14|All Races|Male and Female|2005
11.0|12.7|11.8|729|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|60519046|0-14|All Races|Male and Female|2005
10.9|12.6|11.7|720|IVa Neuroblastoma and ganglioneuroblastoma|60519046|0-14|All Races|Male and Female|2005
~|~|~|~|IVb Other peripheral nervous cell tumors|60519046|0-14|All Races|Male and Female|2005
9.7|11.3|10.5|635|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|60519046|0-14|All Races|Male and Female|2005
4.6|5.7|5.1|310|IXa Rhabdomyosarcomas|60519046|0-14|All Races|Male and Female|2005
0.9|1.4|1.1|70|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|60519046|0-14|All Races|Male and Female|2005
~|~|~|~|IXc Kaposi sarcoma|60519046|0-14|All Races|Male and Female|2005
2.9|3.8|3.3|203|IXd Other specified soft tissue sarcomas|60519046|0-14|All Races|Male and Female|2005
0.6|1.1|0.8|50|IXe Unspecified soft tissue sarcomas|60519046|0-14|All Races|Male and Female|2005
35.8|38.9|37.3|2264|Ia Lymphoid leukemias|60519046|0-14|All Races|Male and Female|2005
6.7|8.1|7.3|449|Ib Acute myeloid leukemias|60519046|0-14|All Races|Male and Female|2005
1.2|1.8|1.5|89|Ic Chronic myeloproliferative diseases|60519046|0-14|All Races|Male and Female|2005
1.3|2.0|1.6|100|Id Myelodysplastic syndrome and other myeloproliferative diseases|60519046|0-14|All Races|Male and Female|2005
1.0|1.6|1.3|80|Ie Unspecified and other specified leukemias|60519046|0-14|All Races|Male and Female|2005
0.1|0.4|0.3|16|Not classified by ICCC|60519046|0-14|All Races|Male and Female|2005
3.4|4.4|3.9|241|V RETINOBLASTOMA|60519046|0-14|All Races|Male and Female|2005
7.5|8.9|8.2|499|VI RENAL TUMORS|60519046|0-14|All Races|Male and Female|2005
2.1|2.9|2.5|155|VII HEPATIC TUMORS|60519046|0-14|All Races|Male and Female|2005
6.1|7.5|6.8|412|VIII MALIGNANT BONE TUMORS|60519046|0-14|All Races|Male and Female|2005
3.2|4.2|3.7|226|VIIIa Osteosarcomas|60519046|0-14|All Races|Male and Female|2005
~|~|~|~|VIIIb Chondrosarcomas|60519046|0-14|All Races|Male and Female|2005
2.0|2.8|2.4|145|VIIIc Ewing tumor and related sarcomas of bone|60519046|0-14|All Races|Male and Female|2005
0.2|0.5|0.3|20|VIIId Other specified malignant bone tumors|60519046|0-14|All Races|Male and Female|2005
~|~|~|~|VIIIe Unspecified malignant bone tumors|60519046|0-14|All Races|Male and Female|2005
1.7|2.4|2.0|126|VIIa Hepatoblastoma and mesenchymal tumors of liver|60519046|0-14|All Races|Male and Female|2005
0.3|0.6|0.4|27|VIIb Hepatic carcinomas|60519046|0-14|All Races|Male and Female|2005
~|~|~|~|VIIc Unspecified malignant hepatic tumors|60519046|0-14|All Races|Male and Female|2005
7.1|8.5|7.8|476|VIa Nephroblastoma and other non-epithelial renal tumors|60519046|0-14|All Races|Male and Female|2005
0.2|0.5|0.3|19|VIb Renal carcinomas|60519046|0-14|All Races|Male and Female|2005
~|~|~|~|VIc Unspecified malignant renal tumors|60519046|0-14|All Races|Male and Female|2005
4.9|6.1|5.5|338|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|60519046|0-14|All Races|Male and Female|2005
6.1|7.4|6.8|414|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|60519046|0-14|All Races|Male and Female|2005
0.5|1.0|0.7|43|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|60519046|0-14|All Races|Male and Female|2005
0.3|0.6|0.4|26|XIIa Other specified malignant tumors|60519046|0-14|All Races|Male and Female|2005
0.2|0.5|0.3|17|XIIb Other unspecified malignant tumors|60519046|0-14|All Races|Male and Female|2005
~|~|~|~|XIa Adrenocortical carcinomas|60519046|0-14|All Races|Male and Female|2005
1.9|2.7|2.3|139|XIb Thyroid carcinomas|60519046|0-14|All Races|Male and Female|2005
~|~|~|~|XIc Nasopharyngeal carcinomas|60519046|0-14|All Races|Male and Female|2005
2.0|2.8|2.4|144|XId Malignant melanomas|60519046|0-14|All Races|Male and Female|2005
~|~|~|~|XIe Skin carcinomas|60519046|0-14|All Races|Male and Female|2005
1.4|2.1|1.8|108|XIf Other and unspecified carcinomas|60519046|0-14|All Races|Male and Female|2005
1.1|1.7|1.4|83|Xa Intracranial and intraspinal germ cell tumors|60519046|0-14|All Races|Male and Female|2005
1.3|2.0|1.6|100|Xb Malignant extracranial and extragonadal germ cell tumors|60519046|0-14|All Races|Male and Female|2005
1.9|2.6|2.2|138|Xc Malignant gonadal germ cell tumors|60519046|0-14|All Races|Male and Female|2005
~|~|~|~|Xd Gonadal carcinomas|60519046|0-14|All Races|Male and Female|2005
~|~|~|~|Xe Other and unspecified malignant gonadal tumors|60519046|0-14|All Races|Male and Female|2005
155.8|162.2|159.0|9676|All ICCC Groups Combined|60516709|0-14|All Races|Male and Female|2006
49.7|53.4|51.5|3132|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|60516709|0-14|All Races|Male and Female|2006
15.7|17.8|16.7|1014|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|60516709|0-14|All Races|Male and Female|2006
32.8|35.7|34.2|2071|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|60516709|0-14|All Races|Male and Female|2006
2.6|3.5|3.1|186|IIIa Ependymomas and choroid plexus tumor|60516709|0-14|All Races|Male and Female|2006
15.4|17.4|16.4|993|IIIb Astrocytomas|60516709|0-14|All Races|Male and Female|2006
7.1|8.5|7.7|469|IIIc Intracranial and intraspinal embryonal tumors|60516709|0-14|All Races|Male and Female|2006
5.2|6.5|5.8|350|IIId Other gliomas|60516709|0-14|All Races|Male and Female|2006
0.3|0.7|0.5|31|IIIe Other specified intracranial and intraspinal neoplasms|60516709|0-14|All Races|Male and Female|2006
0.5|0.9|0.7|42|IIIf Unspecified intracranial and intraspinal neoplasms|60516709|0-14|All Races|Male and Female|2006
5.5|6.8|6.1|372|IIa Hodgkin lymphomas|60516709|0-14|All Races|Male and Female|2006
5.8|7.1|6.4|389|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|60516709|0-14|All Races|Male and Female|2006
2.1|2.9|2.5|150|IIc Burkitt lymphoma|60516709|0-14|All Races|Male and Female|2006
1.2|1.8|1.5|90|IId Miscellaneous lymphoreticular neoplasms|60516709|0-14|All Races|Male and Female|2006
~|~|~|~|IIe Unspecified lymphomas|60516709|0-14|All Races|Male and Female|2006
9.5|11.1|10.3|635|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|60516709|0-14|All Races|Male and Female|2006
9.4|11.0|10.2|627|IVa Neuroblastoma and ganglioneuroblastoma|60516709|0-14|All Races|Male and Female|2006
~|~|~|~|IVb Other peripheral nervous cell tumors|60516709|0-14|All Races|Male and Female|2006
9.6|11.2|10.4|630|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|60516709|0-14|All Races|Male and Female|2006
4.1|5.2|4.7|283|IXa Rhabdomyosarcomas|60516709|0-14|All Races|Male and Female|2006
0.9|1.4|1.1|68|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|60516709|0-14|All Races|Male and Female|2006
~|~|~|~|IXc Kaposi sarcoma|60516709|0-14|All Races|Male and Female|2006
3.0|4.0|3.5|212|IXd Other specified soft tissue sarcomas|60516709|0-14|All Races|Male and Female|2006
0.8|1.4|1.1|65|IXe Unspecified soft tissue sarcomas|60516709|0-14|All Races|Male and Female|2006
37.2|40.4|38.8|2353|Ia Lymphoid leukemias|60516709|0-14|All Races|Male and Female|2006
7.3|8.7|8.0|489|Ib Acute myeloid leukemias|60516709|0-14|All Races|Male and Female|2006
